score,kernel,degree,C,gamma,epsilon
-10.080776241543655,1,2,0.25,0.05,0.05
-6.368395061728394,2,2,0.25,0.05,0.05
-6.368518518518518,3,2,0.25,0.05,0.05
-10.080776241543655,1,2,0.25,0.1,0.05
-6.368395061728394,2,2,0.25,0.1,0.05
-6.368518518518518,3,2,0.25,0.1,0.05
-10.080776241543655,1,2,0.25,0.15000000000000002,0.05
-6.368395061728394,2,2,0.25,0.15000000000000002,0.05
-6.368518518518518,3,2,0.25,0.15000000000000002,0.05
-10.059390328603415,1,2,0.25,0.05,0.1
-6.367777777777778,2,2,0.25,0.05,0.1
-6.368518518518518,3,2,0.25,0.05,0.1
-10.059390328603415,1,2,0.25,0.1,0.1
-6.367777777777778,2,2,0.25,0.1,0.1
-6.368518518518518,3,2,0.25,0.1,0.1
-10.059390328603415,1,2,0.25,0.15000000000000002,0.1
-6.367777777777778,2,2,0.25,0.15000000000000002,0.1
-6.368518518518518,3,2,0.25,0.15000000000000002,0.1
-10.032483222285178,1,2,0.25,0.05,0.15000000000000002
-6.367407407407408,2,2,0.25,0.05,0.15000000000000002
-6.368518518518518,3,2,0.25,0.05,0.15000000000000002
-10.032483222285178,1,2,0.25,0.1,0.15000000000000002
-6.367407407407408,2,2,0.25,0.1,0.15000000000000002
-6.368518518518518,3,2,0.25,0.1,0.15000000000000002
-10.032483222285178,1,2,0.25,0.15000000000000002,0.15000000000000002
-6.367407407407408,2,2,0.25,0.15000000000000002,0.15000000000000002
-6.368518518518518,3,2,0.25,0.15000000000000002,0.15000000000000002
-10.006662348814814,1,2,0.25,0.05,0.2
-6.366913580246914,2,2,0.25,0.05,0.2
-6.368518518518518,3,2,0.25,0.05,0.2
-10.006662348814814,1,2,0.25,0.1,0.2
-6.366913580246914,2,2,0.25,0.1,0.2
-6.368518518518518,3,2,0.25,0.1,0.2
-10.006662348814814,1,2,0.25,0.15000000000000002,0.2
-6.366913580246914,2,2,0.25,0.15000000000000002,0.2
-6.368518518518518,3,2,0.25,0.15000000000000002,0.2
-9.981526313814388,1,2,0.25,0.05,0.25
-6.366975308641975,2,2,0.25,0.05,0.25
-6.368148148148148,3,2,0.25,0.05,0.25
-9.981526313814388,1,2,0.25,0.1,0.25
-6.366975308641975,2,2,0.25,0.1,0.25
-6.368148148148148,3,2,0.25,0.1,0.25
-9.981526313814388,1,2,0.25,0.15000000000000002,0.25
-6.366975308641975,2,2,0.25,0.15000000000000002,0.25
-6.368148148148148,3,2,0.25,0.15000000000000002,0.25
-10.100436098733374,1,2,0.5,0.05,0.05
-6.36962962962963,2,2,0.5,0.05,0.05
-6.368518518518518,3,2,0.5,0.05,0.05
-10.100436098733374,1,2,0.5,0.1,0.05
-6.36962962962963,2,2,0.5,0.1,0.05
-6.368518518518518,3,2,0.5,0.1,0.05
-10.100436098733374,1,2,0.5,0.15000000000000002,0.05
-6.36962962962963,2,2,0.5,0.15000000000000002,0.05
-6.368518518518518,3,2,0.5,0.15000000000000002,0.05
-10.11333638612524,1,2,0.5,0.05,0.1
-6.369999999999999,2,2,0.5,0.05,0.1
-6.368518518518518,3,2,0.5,0.05,0.1
-10.11333638612524,1,2,0.5,0.1,0.1
-6.369999999999999,2,2,0.5,0.1,0.1
-6.368518518518518,3,2,0.5,0.1,0.1
-10.11333638612524,1,2,0.5,0.15000000000000002,0.1
-6.369999999999999,2,2,0.5,0.15000000000000002,0.1
-6.368518518518518,3,2,0.5,0.15000000000000002,0.1
-10.124842109349682,1,2,0.5,0.05,0.15000000000000002
-6.37037037037037,2,2,0.5,0.05,0.15000000000000002
-6.368518518518518,3,2,0.5,0.05,0.15000000000000002
-10.124842109349682,1,2,0.5,0.1,0.15000000000000002
-6.37037037037037,2,2,0.5,0.1,0.15000000000000002
-6.368518518518518,3,2,0.5,0.1,0.15000000000000002
-10.124842109349682,1,2,0.5,0.15000000000000002,0.15000000000000002
-6.37037037037037,2,2,0.5,0.15000000000000002,0.15000000000000002
-6.368518518518518,3,2,0.5,0.15000000000000002,0.15000000000000002
-10.160118229185152,1,2,0.5,0.05,0.2
-6.37037037037037,2,2,0.5,0.05,0.2
-6.368518518518518,3,2,0.5,0.05,0.2
-10.160118229185152,1,2,0.5,0.1,0.2
-6.37037037037037,2,2,0.5,0.1,0.2
-6.368518518518518,3,2,0.5,0.1,0.2
-10.160118229185152,1,2,0.5,0.15000000000000002,0.2
-6.37037037037037,2,2,0.5,0.15000000000000002,0.2
-6.368518518518518,3,2,0.5,0.15000000000000002,0.2
-10.19823731668881,1,2,0.5,0.05,0.25
-6.3701234567901235,2,2,0.5,0.05,0.25
-6.368148148148148,3,2,0.5,0.05,0.25
-10.19823731668881,1,2,0.5,0.1,0.25
-6.3701234567901235,2,2,0.5,0.1,0.25
-6.368148148148148,3,2,0.5,0.1,0.25
-10.19823731668881,1,2,0.5,0.15000000000000002,0.25
-6.3701234567901235,2,2,0.5,0.15000000000000002,0.25
-6.368148148148148,3,2,0.5,0.15000000000000002,0.25
-10.23641581635468,1,2,0.75,0.05,0.05
-6.369074074074074,2,2,0.75,0.05,0.05
-6.368518518518518,3,2,0.75,0.05,0.05
-10.23641581635468,1,2,0.75,0.1,0.05
-6.369074074074074,2,2,0.75,0.1,0.05
-6.368518518518518,3,2,0.75,0.1,0.05
-10.23641581635468,1,2,0.75,0.15000000000000002,0.05
-6.369074074074074,2,2,0.75,0.15000000000000002,0.05
-6.368518518518518,3,2,0.75,0.15000000000000002,0.05
-10.2216634511231,1,2,0.75,0.05,0.1
-6.368395061728394,2,2,0.75,0.05,0.1
-6.368518518518518,3,2,0.75,0.05,0.1
-10.2216634511231,1,2,0.75,0.1,0.1
-6.368395061728394,2,2,0.75,0.1,0.1
-6.368518518518518,3,2,0.75,0.1,0.1
-10.2216634511231,1,2,0.75,0.15000000000000002,0.1
-6.368395061728394,2,2,0.75,0.15000000000000002,0.1
-6.368518518518518,3,2,0.75,0.15000000000000002,0.1
-10.194543363940452,1,2,0.75,0.05,0.15000000000000002
-6.3674691358024695,2,2,0.75,0.05,0.15000000000000002
-6.368518518518518,3,2,0.75,0.05,0.15000000000000002
-10.194543363940452,1,2,0.75,0.1,0.15000000000000002
-6.3674691358024695,2,2,0.75,0.1,0.15000000000000002
-6.368518518518518,3,2,0.75,0.1,0.15000000000000002
-10.194543363940452,1,2,0.75,0.15000000000000002,0.15000000000000002
-6.3674691358024695,2,2,0.75,0.15000000000000002,0.15000000000000002
-6.368518518518518,3,2,0.75,0.15000000000000002,0.15000000000000002
-10.179199454054865,1,2,0.75,0.05,0.2
-6.367047619047618,2,2,0.75,0.05,0.2
-6.368518518518518,3,2,0.75,0.05,0.2
-10.179199454054865,1,2,0.75,0.1,0.2
-6.367047619047618,2,2,0.75,0.1,0.2
-6.368518518518518,3,2,0.75,0.1,0.2
-10.179199454054865,1,2,0.75,0.15000000000000002,0.2
-6.367047619047618,2,2,0.75,0.15000000000000002,0.2
-6.368518518518518,3,2,0.75,0.15000000000000002,0.2
-10.187221300375208,1,2,0.75,0.05,0.25
-6.367126984126984,2,2,0.75,0.05,0.25
-6.368148148148148,3,2,0.75,0.05,0.25
-10.187221300375208,1,2,0.75,0.1,0.25
-6.367126984126984,2,2,0.75,0.1,0.25
-6.368148148148148,3,2,0.75,0.1,0.25
-10.187221300375208,1,2,0.75,0.15000000000000002,0.25
-6.367126984126984,2,2,0.75,0.15000000000000002,0.25
-6.368148148148148,3,2,0.75,0.15000000000000002,0.25
-10.159872544442592,1,2,1.0,0.05,0.05
-6.365925925925926,2,2,1.0,0.05,0.05
-6.368518518518518,3,2,1.0,0.05,0.05
-10.159872544442592,1,2,1.0,0.1,0.05
-6.365925925925926,2,2,1.0,0.1,0.05
-6.368518518518518,3,2,1.0,0.1,0.05
-10.159872544442592,1,2,1.0,0.15000000000000002,0.05
-6.365925925925926,2,2,1.0,0.15000000000000002,0.05
-6.368518518518518,3,2,1.0,0.15000000000000002,0.05
-10.170485583610711,1,2,1.0,0.05,0.1
-6.365132275132274,2,2,1.0,0.05,0.1
-6.368518518518518,3,2,1.0,0.05,0.1
-10.170485583610711,1,2,1.0,0.1,0.1
-6.365132275132274,2,2,1.0,0.1,0.1
-6.368518518518518,3,2,1.0,0.1,0.1
-10.170485583610711,1,2,1.0,0.15000000000000002,0.1
-6.365132275132274,2,2,1.0,0.15000000000000002,0.1
-6.368518518518518,3,2,1.0,0.15000000000000002,0.1
-10.17665136181994,1,2,1.0,0.05,0.15000000000000002
-6.364556878306878,2,2,1.0,0.05,0.15000000000000002
-6.368518518518518,3,2,1.0,0.05,0.15000000000000002
-10.17665136181994,1,2,1.0,0.1,0.15000000000000002
-6.364556878306878,2,2,1.0,0.1,0.15000000000000002
-6.368518518518518,3,2,1.0,0.1,0.15000000000000002
-10.17665136181994,1,2,1.0,0.15000000000000002,0.15000000000000002
-6.364556878306878,2,2,1.0,0.15000000000000002,0.15000000000000002
-6.368518518518518,3,2,1.0,0.15000000000000002,0.15000000000000002
-10.150187499320678,1,2,1.0,0.05,0.2
-6.364228395061728,2,2,1.0,0.05,0.2
-6.368518518518518,3,2,1.0,0.05,0.2
-10.150187499320678,1,2,1.0,0.1,0.2
-6.364228395061728,2,2,1.0,0.1,0.2
-6.368518518518518,3,2,1.0,0.1,0.2
-10.150187499320678,1,2,1.0,0.15000000000000002,0.2
-6.364228395061728,2,2,1.0,0.15000000000000002,0.2
-6.368518518518518,3,2,1.0,0.15000000000000002,0.2
-10.142471401180691,1,2,1.0,0.05,0.25
-6.364179894179894,2,2,1.0,0.05,0.25
-6.368148148148148,3,2,1.0,0.05,0.25
-10.142471401180691,1,2,1.0,0.1,0.25
-6.364179894179894,2,2,1.0,0.1,0.25
-6.368148148148148,3,2,1.0,0.1,0.25
-10.142471401180691,1,2,1.0,0.15000000000000002,0.25
-6.364179894179894,2,2,1.0,0.15000000000000002,0.25
-6.368148148148148,3,2,1.0,0.15000000000000002,0.25
